w,open,open,open,open,open,open,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,volume,volume,volume,volume,volume,volume,code
,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,
30-09-2015,,,,,,682.7641333,,,,,,695.5264893,,,,,,698.3009122,,,,,,671.8371857,,,,,,2321962,HINDUNILVR.NS
30-09-2015,,,,,230.3163568,,,,,,229.5098572,,,,,,231.1652903,,,,,,225.5623123,,,,,,13700514,,ICICIBANK.NS
30-09-2015,,,,444.0224533,,,,,,454.8059387,,,,,,457.5458515,,,,,,440.7149585,,,,,,9495692,,,INFY.NS
30-09-2015,,1129.942275,,,,,,1106.156982,,,,,,1129.942275,,,,,,1098.84824,,,,,,3368336,,,,,TCS.NS
30-09-2015,,,234.9006938,,,,,,235.0766602,,,,,,236.0004162,,,,,,233.4380577,,,,,,9027796,,,,HDFCBANK.NS
30-09-2015,184.398026,,,,,,186.8465424,,,,,,187.3882512,,,,,,181.6894674,,,,,,17292020,,,,,,RELIANCE.NS
01-10-2015,,,236.4842798,,,,,,234.8237152,,,,,,236.8582015,,,,,,232.9981654,,,,,,5034788,,,,HDFCBANK.NS
01-10-2015,,1110.836515,,,,,,1130.326416,,,,,,1132.612993,,,,,,1107.930111,,,,,,2834408,,,,,TCS.NS
01-10-2015,,,,457.9176646,,,,,,459.1506348,,,,,,468.8185925,,,,,,454.042636,,,,,,10864394,,,INFY.NS
01-10-2015,,,,,,698.1302856,,,,,,696.9351807,,,,,,706.1974657,,,,,,692.4960928,,,,,,903859,HINDUNILVR.NS
01-10-2015,,,,,232.141529,,,,,,226.7507782,,,,,,232.141529,,,,,,225.8593968,,,,,,7677876,,ICICIBANK.NS
01-10-2015,189.3709195,,,,,,187.3665924,,,,,,189.3709195,,,,,,186.0448292,,,,,,8663393,,,,,,RELIANCE.NS
05-10-2015,,,236.9241581,,,,,,241.5759888,,,,,,242.9946466,,,,,,236.9241581,,,,,,8053372,,,,HDFCBANK.NS
05-10-2015,,,,,231.2501641,,,,,,238.5085602,,,,,,239.3999559,,,,,,231.2501641,,,,,,13756761,,ICICIBANK.NS
05-10-2015,,,,459.131139,,,,,,462.5560303,,,,,,465.5307834,,,,,,454.8255614,,,,,,6881760,,,INFY.NS
05-10-2015,,1133.788976,,,,,,1158.984741,,,,,,1183.924123,,,,,,1133.788976,,,,,,4807306,,,,,TCS.NS
05-10-2015,,,,,,700.4779037,,,,,,691.3009644,,,,,,703.4230714,,,,,,683.7886895,,,,,,1344972,HINDUNILVR.NS
05-10-2015,186.9548752,,,,,,192.4152985,,,,,,192.8486684,,,,,,186.7490169,,,,,,16015412,,,,,,RELIANCE.NS
06-10-2015,,,,,241.0978091,,,,,,240.0366211,,,,,,241.8194125,,,,,,237.7020615,,,,,,10497246,,ICICIBANK.NS
06-10-2015,,1164.690236,,,,,,1154.005005,,,,,,1165.117646,,,,,,1147.166457,,,,,,3979590,,,,,TCS.NS
06-10-2015,,,243.4785203,,,,,,238.8486786,,,,,,243.6764757,,,,,,238.1998532,,,,,,4758964,,,,HDFCBANK.NS
06-10-2015,,,,,,697.4048414,,,,,,707.9476318,,,,,,710.2525484,,,,,,693.0938237,,,,,,1470601,HINDUNILVR.NS
06-10-2015,,,,464.6304658,,,,,,451.9289856,,,,,,466.7832541,,,,,,449.3847811,,,,,,8711880,,,INFY.NS
06-10-2015,194.0729765,,,,,,194.5930176,,,,,,195.1238926,,,,,,191.9277943,,,,,,12330294,,,,,,RELIANCE.NS
07-10-2015,193.8671071,,,,,,198.0057678,,,,,,198.9266772,,,,,,193.065385,,,,,,11515191,,,,,,RELIANCE.NS
07-10-2015,,,239.2995998,,,,,,239.2446136,,,,,,241.5760198,,,,,,238.2768525,,,,,,4386268,,,,HDFCBANK.NS
07-10-2015,,,,,238.4661241,,,,,,240.2489014,,,,,,240.9280424,,,,,,235.3250647,,,,,,7765703,,ICICIBANK.NS
07-10-2015,,,,452.4770411,,,,,,443.5527344,,,,,,457.4675968,,,,,,441.6935078,,,,,,9182488,,,INFY.NS
07-10-2015,,,,,,698.3011496,,,,,,703.0390015,,,,,,706.8378384,,,,,,696.5938118,,,,,,1126929,HINDUNILVR.NS
07-10-2015,,1151.419372,,,,,,1134.322998,,,,,,1161.271178,,,,,,1131.331133,,,,,,2065530,,,,,TCS.NS
08-10-2015,,,,,239.739516,,,,,,236.3862305,,,,,,239.739516,,,,,,235.2826085,,,,,,6649535,,ICICIBANK.NS
08-10-2015,,,,444.8053032,,,,,,443.1417847,,,,,,449.9719771,,,,,,440.7541558,,,,,,9080874,,,INFY.NS
08-10-2015,,,239.3215545,,,,,,238.2218323,,,,,,239.8934048,,,,,,236.5282707,,,,,,3881908,,,,HDFCBANK.NS
08-10-2015,,1141.183014,,,,,,1125.710815,,,,,,1144.751924,,,,,,1119.812545,,,,,,2357550,,,,,TCS.NS
08-10-2015,198.2441317,,,,,,192.6536865,,,,,,198.2441317,,,,,,192.0361405,,,,,,10753149,,,,,,RELIANCE.NS
08-10-2015,,,,,,705.9841223,,,,,,701.6304321,,,,,,710.2097934,,,,,,697.8742684,,,,,,673062,HINDUNILVR.NS
09-10-2015,,,240.8391727,,,,,,238.8926697,,,,,,240.8391727,,,,,,237.5839841,,,,,,3443228,,,,HDFCBANK.NS
09-10-2015,193.7262747,,,,,,192.2744904,,,,,,196.1964735,,,,,,191.0068965,,,,,,9327873,,,,,,RELIANCE.NS
09-10-2015,,,,444.6487327,,,,,,456.939209,,,,,,459.0919977,,,,,,444.6487327,,,,,,11782138,,,INFY.NS
09-10-2015,,,,,,705.1304369,,,,,,698.3010864,,,,,,708.8866005,,,,,,691.4717359,,,,,,740404,HINDUNILVR.NS
09-10-2015,,,,,238.9754891,,,,,,242.8806,,,,,,244.4086745,,,,,,238.1690037,,,,,,11102562,,ICICIBANK.NS
09-10-2015,,1132.84817,,,,,,1123.936646,,,,,,1132.890952,,,,,,1114.683277,,,,,,2249724,,,,,TCS.NS
12-10-2015,,,,,244.2388899,,,,,,244.1540222,,,,,,247.4648599,,,,,,242.1590044,,,,,,7892259,,ICICIBANK.NS
